Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
1,University of California-Irvine,Irvine. CA,1260,29,35.400,14.900,0.66,16.500,57.700
2,CUNY Bernard M. Baruch College,New York. NY,1270,NA,33.200,4.900,0.55,10.720,57.100
3,Princeton University,Princeton. NJ,1500,33,69.100,17.400,0.58,7.500,72.700
4,University of California-Los Angeles,Los Angeles. CA,1340,32,35.400,15.800,0.59,15.000,60.000
5,University of California-Davis,Davis. CA,1250,29,37.300,17.600,0.67,14.000,59.400
6,Stanford University,Stanford. CA,1470,34,72.200,17.700,0.6,11.450,76.500
7,Massachusetts Institute of Technology,Cambridge. MA,1530,34,70.400,23.700,0.68,17.130,83.600
8,University of Michigan-Ann Arbor,Ann Arbor. MI,1420,32,30.800,17.500,0.52,19.150,62.000
9,University of California-San Diego,La Jolla. CA,1310,30,33.600,15.600,0.58,17.500,61.300
10,University of Virginia,Charlottesville. VA,1410,31,33.600,17.700,0.42,19.000,62.300
11,University of California-Berkeley,Berkeley. CA,1370,32,38.600,19.400,0.57,13.200,68.300
12,University of California-Riverside,Riverside. CA,1200,26,36.200,13.200,0.81,19.000,54.000
13,California State University-Long Beach,Long Beach. CA,1130,23,25.100,10.300,0.7,15.000,51.100
14,Harvard University,Cambridge. MA,1530,34,72.700,18.200,0.43,6.100,72.600
15,Vanderbilt University,Nashville. TN,1510,34,70.400,24.900,0.65,14.500,63.800
16,California Institute of Technology,Pasadena. CA,1560,35,72.000,26.100,0.61,12.180,83.400
17,Yale University,New Haven. CT,1520,34,74.500,19.300,0.52,12.000,68.300
18,Texas A & M University-College Station,College Station. TX,1250,28,29.700,20.900,0.54,18.520,59.000
19,Duke University,Durham. NC,1460,33,75.000,23.500,0.53,9.200,68.700
20,University of Illinois at Urbana-Champaign,Champaign. IL,1420,29,31.400,17.800,0.51,20.130,61.000
21,University of Florida,Gainesville. FL,1320,30,22.100,16.300,0.83,16.200,54.200
22,California State University-Fullerton,Fullerton. CA,1100,22,28.600,9.100,0.65,14.800,49.400
22,University of Washington-Seattle Campus,Seattle. WA,1310,30,27.800,10.100,0.44,15.000,59.900
24,Rice University,Houston. TX,1540,34,66.000,25.800,0.61,11.200,69.200
25,Massachusetts Maritime Academy,Buzzards Bay. MA,1120,23,26.800,15.500,0.48,26.930,67.200
26,Washington and Lee University,Lexington. VA,1420,32,68.900,26.700,0.57,19.920,63.200
27,Georgia Institute of Technology,Atlanta. GA,1310,32,30.000,16.900,0.62,23.750,70.800
